,'_techniques_T1012','_techniques_T1037_001','_techniques_T1041','_techniques_T1053_005','_techniques_T1057','_techniques_T1059_001','_techniques_T1059_003','_techniques_T1059_005','_techniques_T1059_007','_techniques_T1083','_techniques_T1112','_techniques_T1119','_techniques_T1123','_techniques_T1195_002','_techniques_T1204_001','_techniques_T1204_002','_techniques_T1218_005','_techniques_T1218_010','_techniques_T1218_011','_techniques_T1497_001','_techniques_T1518_001','_techniques_T1547_001','_techniques_T1547_002','_techniques_T1559_001','_techniques_T1560_001','_techniques_T1566_001','_techniques_T1566_002','_techniques_T1566_003'
'_techniques_T1547_001'-40,2.536227904,0.722588208,0.068212005,0.021360825,0.096953776,1.33286E-05,0.008097718,0.016484279,0,0.02300017,3.658854195,0,0,0,0,0.023366484,0,0.14530417,0.268561414,0.348352153,0.358587974,1.634050052,0,0,0,0.01883837,0,0
'_techniques_T1547_001'-41,2.539318843,2.019299058,1.289031381,0.623122584,0.586116096,0.00183008,0.074807151,0.606161575,0.000815619,2.179595852,5.415967886,1.824478923,1.448312662,0,0.2300937,1.918390849,0.03052844,0.229093894,0.675029427,1.034031494,0.586958719,1.182356867,0,0,1.986653418,1.90204933,0.147073108,0
'_techniques_T1547_001'-42,2.553539728,0.457512228,0.070457518,0.022217637,0.098809308,0,0.00662789,0.017108307,0,0.019112919,3.658854195,0,0,0,0,0.024331397,0,0.146030072,0.195385607,0.354730026,0.365206968,0.140397901,0,0,0,0.019705886,0,0
'_techniques_T1547_001'-43,2.553965223,3.361881549,0.608050407,1.778885347,1.969050988,2.164067485,2.13005745,1.623403637,1.868029335,0.167768715,3.760704196,0.176566733,0.623035788,1.748271363,0.136154003,0.116882823,1.862364875,2.148427343,1.806565699,1.204613305,1.39792294,0.816063006,0,1.892148434,0.031730803,0.031529368,0.051098402,0
'_techniques_T1547_001'-44,2.540956896,0.565450079,0.076230396,0.021237281,0.100145457,1.33286E-05,0.008866658,0.016448533,0,0.022949711,3.658854195,0,0,0,0,0.024508933,0,0.142112785,0.274082253,0.340712914,0.361447806,0.211916643,0,0,0,0.019815698,0,0
'_techniques_T1547_001'-45,3.584063409,0.457512228,0.730336115,0.369340464,0.364783077,0.001157313,0.045579704,0.418113977,0,1.520091637,4.2362616,1.558848214,1.338180074,0,0.162758508,1.509143824,0.028059001,0.224626136,0.534883803,0.826939226,0.538798299,1.002709111,0,0,1.687150044,1.641306083,0.116789652,0
'_techniques_T1547_001'-46,2.584333672,0.457512228,0.071039148,0.021237281,0.096492641,0,0.008379476,0.017249537,0,0.021597504,3.658854195,0,0,0,0,0.023627706,0,0.144749068,0.267582349,0.346888564,0.374700983,1.413969645,0,0,0,0.019103218,0,0
'_techniques_T1547_001'-47,1.952173144,0.247494728,0.067887573,0.021626769,0.100145457,1.33286E-05,0.006085486,0.016484279,0,0.019365637,2.13380535,0,0,0,0,0.023744271,0,0,0.1785989,0.347871131,0.318183686,0.400140946,0,0,0,0.019197462,0,0
'_techniques_T1547_001'-48,0.75835101,0.011334762,1.268684018,0.598194006,0.378850839,0.000806987,0.076109322,0.607033496,0.000815619,2.167135864,0.234130384,1.823938927,1.272929971,0,0.228640354,1.917349031,0.03052844,0.145890584,0.63959471,1.033550472,0.547484389,1.407928855,0,0,1.986653418,1.901726219,0.147073108,0
'_techniques_T1547_001'-49,3.195298019,1.864053198,0.991762994,2.07458408,2.080648396,1.356452088,1.171401672,1.909859941,1.695004378,1.647785356,5.277160797,1.891435247,1.893727559,1.751046782,0.219607327,1.749007101,1.817888214,2.13219414,1.968618828,1.693185046,1.595239546,2.540659787,0,1.69353731,1.905358416,1.657332191,0.180744337,0
'_techniques_T1547_001'-5,2.533627938,0.457512228,1.209833509,0.556216793,0.588719505,0.000766597,0.071183228,0.573275206,0,2.009304229,5.396064561,1.649446872,1.272929971,0,0.215145479,1.753480967,0.029293721,0.215482592,0.677294834,0.970505933,0.565183328,2.415980558,0,0,1.799854459,1.724873599,0.13594487,0
'_techniques_T1547_001'-50,1.245666896,0.457512228,0.301438765,0.174788288,0.174869573,0.000766597,0.073772907,0.2997694,0,1.18331281,5.396064561,1.649446872,1.272929971,0,0.128003719,1.45817381,0.029293721,0.041445091,0.325382353,0.74433774,0.574664569,1.069603698,0,0,1.799854459,1.657016884,0.113500059,0
'_techniques_T1547_001'-51,4.16787033,1.830402202,0.736039894,0.817538485,0.472265758,1.117700602,0.897195442,1.145622405,1.700831254,1.561261947,4.625440218,1.858275105,1.903865287,1.930314977,0.206500184,1.693198139,1.71300586,1.053670746,1.023440362,1.300823518,1.513862495,2.966556122,0,1.914399322,1.854257488,1.672367629,0.180326074,0
'_techniques_T1547_001'-52,2.532656498,0.457512228,0.067348571,0.021595891,0.097597184,0,0.008196836,0.016414925,0,0.020906471,3.658854195,0,0,0,0,0.024048681,0,0.144124579,0.270306446,0.350014617,0.361447806,1.413969645,0,0,0,0.019443581,0,0
'_techniques_T1547_001'-53,1.545050724,3.045433921,0.068212005,0.021407247,0.097776286,1.33286E-05,0.007177373,0.016484279,0,0.021789818,3.658854195,0,0,0,0,0.024252699,0,0.082701588,0.223314122,0.351417661,0.361447806,1.236730505,0,0,0,0.019608531,0,0
'_techniques_T1547_001'-55,3.135888731,1.063087808,0.323578713,0.186189197,0.190395657,0.000769984,0.020629848,0.480001461,0,1.194918412,4.609908871,1.621570634,1.261133342,0,0.125201655,1.464794609,0.028913807,0.163004982,0.471148036,0.734587012,0.570858701,2.657153004,0,0,1.785308251,1.645544417,0.112743482,0
'_techniques_T1547_001'-56,0.7347546,0.011334762,1.273653583,0.612941778,0.391322238,0.000806987,0.073088771,0.606161575,0.000815619,2.177221235,0.234130384,1.823938927,1.272929971,0,0.230319776,1.918023103,0.03052844,0.088765434,0.603073038,1.03610835,0.554354425,0.993542478,0,0,1.986653418,1.904580707,0.148008845,0
'_techniques_T1547_001'-57,2.661415786,0.457512228,0.07428085,0.022615973,0.105579786,0,0.008701486,0.018036678,0,0.022473751,3.658854195,0,0,0,0,0.025285713,0,0.146483761,0.292602534,0.367994154,0.357400169,1.413969645,0,0,0,0.020443732,0,0
'_techniques_T1547_001'-58,0.707040874,0,1.209998044,0.565462758,0.5865294,0.000758519,0.072128933,0.618596795,0,2.0856351,0.213364025,1.622845465,1.260428109,0,0.214285453,1.743516878,0.028936302,0.132009262,0.574248598,0.970082385,0.526383561,1.407864277,0,0,1.763599412,1.704317414,0.134371044,0
'_techniques_T1547_001'-59,3.700193244,1.841736964,0.693120116,0.785870682,0.340910029,1.113751665,0.8904243,1.12091988,1.701646873,1.536132987,5.212386722,2.258498906,1.91334472,1.930314977,0.189376681,2.00827575,1.714597999,0.944206007,0.940076892,1.270407559,1.642238973,2.695075738,0,1.914399322,2.267222768,1.865660154,0.204620939,0
'_techniques_T1547_001'-6,1.164409086,1.527536619,1.537836429,2.218923828,2.197863536,2.200736395,2.143140138,2.171652987,1.889478385,2.043661195,0.484361044,2.153959668,1.906538973,1.728152402,0.306113249,2.093153637,1.890503852,2.215958042,2.078316796,1.91223465,1.754357567,1.691436363,0,1.682759423,2.122116656,1.767363269,0.20779404,0
'_techniques_T1547_001'-60,3.266859206,1.799300573,0.35028285,1.027122079,1.040780794,1.470120406,1.322445193,1.039456315,1.676930537,0.103669436,5.352992613,0.176566733,0.614346307,1.667833755,0.088814199,0.092422828,1.65368184,1.503328156,1.181353462,0.866955666,1.25361279,1.860283887,0,1.692211859,0.031622445,0.02840631,0.04936614,0
'_techniques_T1547_001'-61,2.50918424,0.457512228,1.207027021,0.574192779,0.604600496,0.000766597,0.071921438,0.581224825,0,2.031539077,5.396064561,1.649446872,1.272929971,0,0.216439417,1.751932748,0.029293721,0.220054679,0.639033341,0.969566251,0.569325699,2.470140937,0,0,1.799854459,1.724387797,0.137654299,0
'_techniques_T1547_001'-62,0.683774816,0,1.215018092,0.570711008,0.628935323,0.000749591,0.072595951,0.593975402,0,2.011759762,0.216097045,1.657455124,1.244912978,0,0.215979512,1.759115191,0.028486404,0.13516559,0.571404403,0.966373903,0.525615309,1.407864277,0,0,1.808438576,1.73254611,0.136789398,0
'_techniques_T1547_001'-64,1.316421579,1.368835397,1.818616775,1.338001613,1.265210228,1.474043673,1.589642368,1.907727408,1.669523246,1.706563154,0.433647133,2.064694694,1.907551733,1.710912068,0.320440661,1.909146382,1.644224978,1.402352405,1.277090223,1.665192344,1.552546077,1.253724402,0,1.659244037,2.403988264,2.000134056,0.325264646,0
'_techniques_T1547_001'-65,3.313718628,0.457512228,0.748137251,0.374894411,0.401880128,0.000823987,0.04327514,0.425376614,0,1.756521477,3.875170437,1.654827041,1.28086292,0,0.170964733,1.593383756,0.028059001,0.076569242,0.428118821,0.900374291,0.54369536,1.411103586,0,0,1.777151901,1.70781817,0.124195197,0
'_techniques_T1547_001'-66,2.536227904,0.457512228,0.067887573,0.021133023,0.096953776,0,0.008155463,0.018510061,0,0.020989023,3.658854195,0,0,0,0,0.023627706,0,0.14530417,0.263360676,0.340099277,0.352376877,1.413969645,0,0,0,0.019103218,0,0
'_techniques_T1547_001'-67,2.545439753,0.457512228,0.069255386,0.021509551,0.108350791,0,0.008196836,0.018510061,0,0.02300017,3.658854195,0,0,0,0,0.0239343,0,0.152381716,0.269387294,0.351417661,0.353029805,1.413969645,0,0,0,0.019351103,0,0
'_techniques_T1547_001'-68,0.56330485,3.091426881,0,0.004759021,0.002262783,0.000440041,0.000288419,0,0,0.017843635,3.731262457,0.000412011,0.120349312,0,0,0,0,0.026087901,0.01880346,0.000481022,0.046923898,0.502532251,0,0,0,0,0,0
'_techniques_T1547_001'-69,0.75835101,0.011334762,1.273653583,0.599060322,0.621555251,0.000806987,0.076109322,0.607518003,0.0017128,2.216482946,0.234130384,1.825411461,2.159737851,0,0.230165093,1.918023103,0.03052844,0.145801094,0.63959471,1.088352891,0.544076129,1.407864277,0,0,1.986653418,1.901935254,0.147385021,0
'_techniques_T1547_001'-7,1.667950503,1.985048846,0.65544859,0.846251171,0.257638824,1.09714232,0.880463405,1.145629255,1.889478385,1.414517107,5.482704713,2.122019237,1.91334472,1.753206956,0.176075245,2.080299165,1.890223234,0.830608533,0.511120254,0.813834946,1.297831586,1.368051454,0,1.703924908,2.248313518,1.708081711,0.257462543,0
'_techniques_T1547_001'-70,0.853910252,3.217481663,0.209701847,0.15833885,0.069478657,0.000767442,0.007948232,0.271274477,0,1.161531838,4.585486212,1.635877328,1.282760495,0,0.126125487,1.415680878,0.028753531,0.041219671,0.139033184,0.398739215,0.227006139,1.181848711,0,0,1.768307448,1.638918774,0.112016157,0
'_techniques_T1547_001'-71,1.152146851,1.359430657,1.513908358,2.212458985,2.243719982,2.20022542,2.184658925,2.248481397,1.889478385,1.979575126,0.477657025,2.161343422,1.881562285,1.739404744,0.304535293,1.981063704,1.869747738,2.228998412,2.040931088,1.860135419,1.745666302,1.708288245,0,1.914399322,2.032312473,1.68401132,0.196418396,0
'_techniques_T1547_001'-72,3.276588351,1.967606188,0.357685085,1.062840415,1.079824124,1.534292241,1.475869869,1.10727176,1.889478385,0.105392244,5.345399836,0.184922249,0.635814436,1.724849806,0.091070759,0.094303753,1.731482798,1.55646149,1.240707583,0.869758752,1.339744348,1.860283887,0,1.703924908,0.032091996,0.028375194,0.052232953,0
'_techniques_T1547_001'-73,2.533955156,0.457512228,0.069013903,0.021626769,0.108350791,0,0.008894624,0.016448533,0,0.02300017,3.658854195,0,0,0,0,0.024048681,0,0.144517776,0.268561414,0.348352153,0.3675676,1.413969645,0,0,0,0.019815698,0,0
'_techniques_T1547_001'-74,2.522046092,0.457512228,1.207470087,0.561003382,0.621555251,0.000766597,0.073772907,0.572587105,0,2.055106806,5.396064561,1.649446872,1.272929971,0,0.216529902,1.751797623,0.029293721,0.21824753,0.645337779,0.963676288,0.574664569,2.470140937,0,0,1.799854459,1.728273739,0.136752964,0
'_techniques_T1547_001'-76,1.146382338,1.527536619,1.589480151,2.241783729,2.177940178,2.200736395,2.114188714,2.167500464,1.889478385,2.071592512,0.484361044,2.153959668,1.906538973,1.728152402,0.306460168,2.093460776,1.890503852,2.217740199,1.981820378,1.907066301,1.772634134,1.714026646,0,1.682759423,2.122116656,1.767463678,0.20779404,0
'_techniques_T1547_001'-77,0.983681908,1.47534445,1.404749368,1.11047426,0.792005428,1.006087552,0.942180474,1.289064996,1.666019467,2.207140868,0.40613165,1.922034397,1.874774415,1.698323821,0.259284658,1.953337082,1.668281647,0.947132891,1.147711802,1.444161781,1.420419078,1.754220871,0,1.682759423,1.915531883,1.720314964,0.195510365,0
'_techniques_T1547_001'-78,2.571586055,1.830402202,1.51357705,1.135056461,0.5727648,1.120627787,0.944825887,1.362056065,1.700831254,2.319170365,5.027808785,1.996562587,1.906538973,1.930314977,0.270693356,2.066275984,1.713643897,1.032086283,1.192463961,1.512367852,1.582809097,2.46838278,0,1.914399322,2.003204068,1.795190793,0.207167639,0
'_techniques_T1547_001'-79,1.172592232,1.469329297,1.584671812,2.214588725,2.172931095,2.11581458,2.206718464,2.107074348,1.890294004,2.054209634,0.49539164,2.277221713,1.908744407,1.724849806,0.321118556,2.165814118,1.762011238,2.250208955,1.97369592,1.898346851,1.782817122,1.713637468,0,1.703924908,2.265207345,1.895782464,0.212830018,0
'_techniques_T1547_001'-8,4.017524849,1.853404745,0.870197752,1.152147287,0.815417528,1.191492221,1.026015054,1.38982082,1.695004378,1.565290261,4.782071503,1.840880189,1.907551733,1.713402056,0.236106021,1.833169421,1.703151241,1.189857867,1.132957654,1.225311257,1.401128748,2.894795626,0,1.69353731,1.951814645,1.764574863,0.215521244,0
'_techniques_T1547_001'-80,2.828221649,4.702639215,0.89709799,1.166998763,0.749723881,1.275189978,1.069476549,1.438974339,1.868029335,1.62020057,5.075192847,1.840474694,1.986560181,1.748271363,0.215553697,2.323585537,1.8909795,1.174514942,0.99438931,1.278670317,1.597822373,2.405308672,0,1.892148434,1.986443783,1.837452683,0.298397216,0
'_techniques_T1547_001'-81,0.695398887,0,1.27306399,0.609744995,0.626851962,0.000777906,0.070230947,0.587862141,0,2.192715631,0.224058974,1.697381421,1.266124224,0,0.218496296,1.838096625,0.029574339,0.131945374,0.594043419,0.993118715,0.539354559,1.407928855,0,0,1.851230183,1.773926132,0.140070068,0
'_techniques_T1547_001'-82,3.657496276,1.830402202,0.653369169,0.762350025,0.348196075,1.112848427,0.887712578,1.093229489,1.700831254,1.408455885,5.210464794,2.069676408,1.91334472,1.930314977,0.179050973,1.839812641,1.713363279,0.943099838,0.903497912,1.21098752,1.608904473,2.695075738,0,1.914399322,2.067999127,1.689955728,0.193375616,0
'_techniques_T1547_001'-83,2.550119551,0.457512228,0.068922542,0.024038021,0.098809308,0,0.008262374,0.01670357,0,0.021279307,3.658854195,0,0,0,0,0.024048681,0,0.145552505,0.292602534,0.348352153,0.362731363,1.413969645,0,0,0,0.01930914,0,0
'_techniques_T1547_001'-84,0.732405632,0.011334762,1.280156379,0.627732906,0.621555251,0.000806987,0.072533482,0.470249087,0.000815619,2.177221235,0.234130384,1.823938927,1.272929971,0,0.229455368,1.915712696,0.03052844,0.144451859,0.604788499,1.025321934,0.546666201,1.407864277,0,0,1.986653418,1.902912541,0.147592962,0
'_techniques_T1547_001'-85,2.527895089,0.457512228,0.070835306,0.024038021,0.097776286,0,0.007761257,0.01720004,0,0.021542364,3.658854195,0,0,0,0,0.023744271,0,0.144875228,0.268561414,0.350014617,0.365206968,1.413969645,0,0,0,0.019103218,0,0
'_techniques_T1547_001'-86,2.796710164,1.821417495,1.093674904,1.27643451,1.247522365,1.22907879,1.110618929,1.448666136,1.668137163,2.310892007,6.353969063,2.021529167,2.811588079,1.714831024,0.255159384,2.095620718,1.681702668,1.18073439,1.14984843,1.442104547,1.464584459,2.532302301,0,1.689664371,2.206287415,1.920255699,0.249309316,0
'_techniques_T1547_001'-87,2.518373869,0.694963749,0.068212005,0.021762416,0.098093561,1.33286E-05,0.008894624,0.016653319,0,0.021781839,3.658854195,0,0,0,0,0.024048681,0,0.14530417,0.269682563,0.350014617,0.361447806,1.634050052,0,0,0,0.019443581,0,0
'_techniques_T1547_001'-88,0.734128019,0,1.280924462,0.596049033,0.405145222,0.000820316,0.073372141,0.633374103,0,2.17616332,0.234130384,1.825411461,1.28951898,0.003918956,0.23238782,1.921137229,0.03083712,0.135897005,0.609087506,1.026803459,0.545559758,0.993542478,0,0,1.986653418,1.9027428,0.147503123,0
'_techniques_T1547_001'-89,1.539025524,3.02565917,0.068428723,0.021431583,0.108350791,1.33286E-05,0.007761257,0.016484279,0,0.02002994,3.660443484,0,0,0,0,0.023833602,0,0.083098089,0.239949842,0.345590186,0.3675676,1.265458313,0,0,0,0.019269687,0,0
